SDK,Data Types,Collected,Shared,Processed ephemerally?,Required or Optional?,Purposes,Source
Google AdMob,Approximate location,Yes,Yes,No,Required,"Advertising or marketing, Analytics, Fraud prevention, security and compliance",https://developers.google.com/admob/android/play-data-disclosure
Google AdMob,App interactions,Yes,Yes,No,Required,"Advertising or marketing, Analytics, Fraud prevention, security and compliance",
Google AdMob,Diagnostics,Yes,Yes,No,Required,"Advertising or marketing, Analytics, Fraud prevention, security and compliance",
Google AdMob,Device or other IDs,Yes,Yes,No,Optional,"Advertising or marketing, Analytics, Fraud prevention, security and compliance",
Google CrashLytics,Crash logs,Yes,No,No,Required,Analytics,https://firebase.google.com/docs/android/play-data-disclosure#crashlytics
Google CrashLytics,App interactions*(If you have Firebase Google Analytics),Yes,No,No,Required,Analytics,
Google CrashLytics,User IDs,Yes,No,No,Required,Analytics,
Facebook SDK: Login,User IDs,Yes,Yes,No,Required,App functionality,https://developers.facebook.com/blog/post/2020/10/22/preparing-for-apple-app-store-data-disclosure-requirements/
Facebook SDK: Login,Device or other IDs,Yes,Yes,No,Required,App functionality,
Facebook SDK: App Events & Analytics,User IDs,Yes,Yes,No,Required,"Advertising or marketing, Analytics",https://developers.facebook.com/blog/post/2020/10/22/preparing-for-apple-app-store-data-disclosure-requirements/
Facebook SDK: App Events & Analytics,Purchase history,Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,App interactions,Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,"In-app search history*(Standard events, check if you are sharing this with FB)",Yes,Yes,No,"Optional, if you have a Opt-In/Opt-out implemented. Else Required.","Advertising or marketing, Analytics",https://developers.facebook.com/blog/post/2020/10/22/preparing-for-apple-app-store-data-disclosure-requirements/
Facebook SDK: App Events & Analytics,Contact - TBD,Yes,Yes,No,"Optional, if you have a Opt-In/Opt-out implemented. Else Required.","Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,Name(For Advanced Matching),Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,Email address(For Advanced Matching),Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,Phone number(For Advanced Matching),Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Facebook SDK: App Events & Analytics,Address(For Advanced Matching),Yes,Yes,No,Required,"Advertising or marketing, Analytics",
Flurry: Analytics,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Analytics,https://www.flurry.com/blog/flurry-guidance-apple-app-privacy-details/
Flurry: Analytics,App interactions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Analytics,
Flurry: Analytics,Other actions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Analytics,
AppsFlyer,Email address (including hashed)*(Look at your implementation),Yes,Yes,No,Optional,"App functionality, Analytics",
AppsFlyer,Phone number (including hashed) *(Look at your implementation),Yes,Yes,No,Optional,"App functionality, Analytics",https://support.appsflyer.com/hc/en-us/articles/207032086-Preparing-for-the-App-Store-review-nutrition-labels
AppsFlyer,Approximate location,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"App functionality, Analytics",
AppsFlyer,User IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"App functionality, Analytics",
AppsFlyer,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics, App functionality",
AppsFlyer,Purchase history*(Optional),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"App functionality, Analytics",
AppsFlyer,App interactions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"App functionality, Analytics",
AppsFlyer,Other app performance data,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"App functionality, Analytics",
AppsFlyer,"Other data(IDFV, AppsFlyer ID, Technical device information)",Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Draft,
MoPub,Precise Location*(Check configuration),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",https://developers.mopub.com/publishers/ios/app-privacy-details/
MoPub,Approximate Location*(Check configuration),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
MoPub,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
MoPub,App interactions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
MoPub,Other Data Types*(device make and model data as well as cell carrier data where available),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,Approximate Location,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",https://www.adcolony.com/blog/2020/11/19/get-your-ios-14-nutritional-label-ready/
AdColony,Other actions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,User IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,App interactions,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,Purchase history,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,Crash logs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
AdColony,Other app performance data,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),"Advertising or marketing, Analytics",
ironSource,Device or other IDs,Yes,Yes,No,Optional,"""Analytics, Advertising or marketing, Fraud prevention, security, and compliance""",https://developers.is.com/ironsource-mobile/general/google-data-safety-questionnaire/
ironSource,Approximate location,Yes,Yes,No,Required,"""Analytics, Advertising or marketing, Fraud prevention, security, and compliance""",
ironSource,Diagnostics,Yes,No,No,Required,"""Analytics, Advertising or marketing, Fraud prevention, security, and compliance""",
ironSource,Other actions,Yes,Yes,No,Required,"""Analytics, Advertising or marketing, Fraud prevention, security, and compliance""",
Fyber,Precise Location,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,https://developer.fyber.com/hc/en-us/articles/360015740457-Apple-s-App-Privacy-Details
Fyber,Approximate Location,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,User IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Crash logs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Other actions*(Offer Wall Customers only),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),App functionality,
Intercom,Email address,Yes,No,No,Required,"Developer communications, App functionality",https://www.intercom.com/help/en/articles/4686934-apple-s-app-store-data-privacy-details-and-intercom-s-ios-sdk
Intercom,Approximate Location,Yes,No,No,Required,App functionality,
Intercom,Photos,Yes,No,No,Required,App functionality,
Intercom,Videos,Yes,No,No,Required,App functionality,
Intercom,Other actions,Yes,No,No,Required,App functionality,
Intercom,In-app search history,Yes,No,No,Required,"Analytics, App functionality",
Intercom,Device or other IDs,Yes,No,No,Required,"Developer communications, App functionality, Analytics",
Intercom,App interactions,Yes,No,No,Required,"Developer communications, App functionality, Analytics",
Intercom,Custom Data as Events - Please check,Yes,No,No,Required,"Select based on implementation, will be from above list",
Mixpanel,Approximate Location,Yes,No,No,Required,"Developer communications, Analytics",https://mixpanel.com/legal/app-store-privacy-details/
