SDK,Data Types Collected,Linked to User Identity,Used for Tracking,Purpose,Source,
Google Firebase Analytics,User ID,Yes,No,Analytics,https://support.google.com/analytics/answer/10285841,
Google Firebase Analytics,Coarse Location,Yes,No,Analytics,https://support.google.com/firebase/answer/9234069?visit_id=637731025758489983-1306152679&rd=1,
Google Firebase Analytics,Purchases,Yes,No,Analytics,https://support.google.com/firebase/answer/9268042?visit_id=637731025758489983-1306152679&rd=1,
Google Firebase Analytics,Product Interaction,Yes,No,Analytics,,
Google Firebase Analytics,Performance Data,Yes,No,Analytics,,
Google Firebase Analytics,Crash Data,Yes,No,Analytics,,
Google Firebase Analytics,Advertising Data*(If AdSupport is enabled),Yes,Yes,"
Third-Party Advertising, Analytics",,
Google AdMob,Device ID,Yes,Yes,"
Third-Party Advertising, Analytics",https://developers.google.com/admob/ios/data-disclosure,
Google AdMob,Product Interaction,Yes,Yes,"
Third-Party Advertising, Analytics",,
Google AdMob,Advertising Data,Yes,Yes,"
Third-Party Advertising, Analytics",,
Google AdMob,Performance Data,Yes,Yes,"
Third-Party Advertising, Analytics",,
Google AdMob,Coarse Location,Yes,Yes,"
Third-Party Advertising, Analytics",,
Google AdMob,Crash Data,No,No,"
Third-Party Advertising, Analytics",,
Google AdMob,Other Diagnostic Data,Yes,Yes,"
Third-Party Advertising, Analytics",,
Google Crashlytics,Crash Data,Yes*(if you call the setUserID: method and pass in a user identifier),No,App Functionality,https://github.com/firebase/firebase-ios-sdk/issues/5928#issuecomment-737878114,
Google Crashlytics,,,,,https://firebase.google.com/support/privacy#crash-stored-info,
Facebook SDK - Login,User ID,Yes,Draft,App Functionality,https://developers.facebook.com/blog/post/2020/10/22/preparing-for-apple-app-store-data-disclosure-requirements/,
Facebook SDK - Login,Device ID,Yes,Draft,App Functionality,,
Facebook SDK: App Events & Analytics,User ID,Yes,Yes,"
Third-Party Advertising, Analytics",https://developers.facebook.com/blog/post/2020/10/22/preparing-for-apple-app-store-data-disclosure-requirements/,
Facebook SDK: App Events & Analytics,Purchases,Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Product Interaction,Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,"Search History*(Standard events, check if you are sharing this with FB)",Yes,Yes,"Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,"Advertising Data*(Standard events, check if you are sharing this with FB)",Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Name(For Advanced Matching),Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Email(For Advanced Matching),Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Phone Number(For Advanced Matching),Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Physical Address(For Advanced Matching),Yes,Yes,"
Third-Party Advertising, Analytics",,
Facebook SDK: App Events & Analytics,Contact - Draft,Draft,Draft,Draft,,
Unity3d Ads,Coarse Location,Not Applicable,Yes,"
Third-Party Advertising, Analytics",https://unityads.unity3d.com/help/ios/apple-privacy-survey,
Unity3d Ads,Customer Support*(Unity Ads may collect this information if a user submits a report of an ad creative),Not Applicable,No,App Functionality,http://documentation.cloud.unity3d.com/en/articles/4702483-apple-nutritional-labels,
Unity3d Ads,User ID,Yes,No,App Functionality,,
Unity3d Ads,Device ID,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics",,
Unity3d Ads,Purchase History,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics",,
Unity3d Ads,Product Interaction,Yes,No,"Third-Party Advertising, Analytics",,
Unity3d Ads,Advertising Data,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics",,
Unity3d Ads,Other Usage Data,Yes,Yes(If ATT enabled),"Third-Party Advertising, Analytics",,
Unity3d Ads,Performance Data,Yes,No,"App Functionality, Analytics",,
Unity3d Ads,"Other Data Types*(For example, Unity collects data like device language, make, model, screen size, and connection type, to deliver compatible advertisements.)",Yes,Yes(If ATT enabled),"Third-party advertising, App Functionality, Analytics",,
Unity Analytics,Coarse Location,Yes,No,Analytics,http://documentation.cloud.unity3d.com/en/articles/4694233-apple-nutritional-info-unity-analytics,
Unity Analytics,User ID,Yes,No,Analytics,,
Unity Analytics,Device ID,Yes,No,Analytics,,
Unity Analytics,Purchases,Yes,No,Analytics,,
Unity Analytics,Product Interaction,Yes,No,Analytics,,
Unity Analytics,Performance Data,Yes,No,Analytics,,
Unity Analytics,Other Diagnostic Data,Yes,No,Analytics,,
Unity Analytics,Other Data Types*(Check implementation),Yes,No,"Developer’s Advertiser or Marketing, Analytics, App Functionality",,
Unity deltaDNA,Coarse Location,Yes,No,"Analytics, Product Personalization",http://documentation.cloud.unity3d.com/en/articles/4694239-apple-nutritional-info-deltadna,
Unity deltaDNA,User ID,Yes,No,"Analytics, Product Personalization",,
Unity deltaDNA,Purchases,Yes,No,"Analytics, Product Personalization",,
Unity deltaDNA,Product Interaction,Yes,No,"Analytics, Product Personalization",,
Unity deltaDNA,Advertising Data,Yes,No,"Analytics, Product Personalization",,
Unity deltaDNA,Other Usage Data,Yes,No,"Analytics, Product Personalization",,
Unity deltaDNA,Other Data Types(Check Implementation),Yes,No,"Developer’s Advertising or Marketing, Analytics, Product Personalization, App Functionality.",,
Unity GameTune,Coarse Location,Yes,No,"Analytics, Product Personalization",http://documentation.cloud.unity3d.com/en/articles/4694234-apple-nutritional-info-gametune,
Unity GameTune,User ID,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,Device ID,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,Purchases,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,Product Interaction,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,Advertising Data,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,Other Usage Data,Yes,No,"Analytics, Product Personalization",,
Unity GameTune,"Other Diagnostic Data
*(May Collect Data)",Yes,No,Analytics,,
Unity Remote Config,User ID,Yes,No,"Analytics, Product Personalization",http://documentation.cloud.unity3d.com/en/articles/4694241-apple-nutritional-info-remote-config,
Unity Remote Config,Device ID,Yes,No,"Analytics, Product Personalization",,
Unity IAP,Purchases,Yes,No,"App Functionality, Analytics",http://documentation.cloud.unity3d.com/en/articles/4694224-apple-nutritional-info-unity-iap,
Unity IAP,Other Data Types,Yes,No,"App Functionality, Analytics",,
Unity Crash Analytics,Customer Support,Yes,No,"App Functionality, Analytics",http://documentation.cloud.unity3d.com/en/articles/4704486-apple-nutritional-info-crash-analytics,
Unity Crash Analytics,User ID,Yes,No,"App Functionality, Analytics",,
Unity Crash Analytics,Device ID,Yes,No,"App Functionality, Analytics",,
Unity Crash Analytics,Crash Data,Yes,No,"App Functionality, Analytics",,
Unity Crash Analytics,Performance Data,Yes,No,"App Functionality, Analytics",,
Unity Crash Analytics,Other Diagnostic Data,Yes,No,"App Functionality, Analytics",,
Flurry: Analytics,Device ID,No,Yes,Analytics,https://www.flurry.com/blog/flurry-guidance-apple-app-privacy-details/,
Flurry: Analytics,Product Interaction,No,Yes,Analytics,,
Flurry: Analytics,Other Usage Data,No,Yes,Analytics,,
Flurry: Crash Analytics,Crash Data,Draft,Draft,Draft,https://www.flurry.com/blog/flurry-guidance-apple-app-privacy-details/,
Flurry: Crash Analytics,Performance Data,Draft,Draft,Draft,,
